ProcedureSpecialtyDescription,case_count,baseline_net_min,predicted_net_min,baseline_cost,predicted_cost,savings
Anesthesia,6,136.0,-72.11851194770735,7140.0,3365.985585319328,3774.014414680672
Maxiofacial,26,554.0,386.0755065855285,59185.0,53115.69450480341,6069.30549519659
Orthopedic Spine,85,595.0,-412.31533675465073,77875.0,78995.0167620828,-1120.0167620827997
Dental,132,-698.0,1348.5469115450192,103005.0,173609.98044328886,-70604.98044328886
Endoscopy,131,2382.0,1187.718724695905,171517.5,121631.85411712634,49885.645882873665
Ophthalmology,595,4108.0,-103.69295828929555,231507.5,139369.22452784303,92138.27547215697
"Ears, Nose and Throat",472,-330.0,-8115.6959721282865,352625.0,483101.98505994707,-130476.98505994707
Plastics,173,1814.0,-138.29682741580467,355810.0,455226.99808116845,-99416.99808116845
Urology,639,3827.0,4031.1165599472515,651542.5,614730.0646339441,36812.43536605593
Gynecological Obstetrics,800,2421.0,-2857.9209840958156,815290.0,786236.9138995477,29053.086100452347
General,1936,17755.0,14224.350085923996,2611175.0,2669510.4564671414,-58335.4564671414
Orthopedic,2809,8266.0,-11748.512177281535,2728565.0,2222445.3417966138,506119.65820338624
