ProcedureSpecialtyDescription,total_surgeries,total_additional_possible,most_common_procedure,avg_procedure_duration_min
Orthopedic,2809,82,KNEE TOTAL REPLACEMENT,67.04903225806451
General,1936,27,LAPAROSCOPY CHOLECYSTECTOMY,83.87810945273633
Gynecological Obstetrics,800,0,LAPAROSCOPY HYSTERECTOMY TOTAL,159.11290322580646
Urology,639,7,CYSTO LITHOTRIPSY W/WO LASER,70.37820512820512
Ophthalmology,595,2,CATARACT EXTRACTION W/IOL IMPLANT,22.39159663865546
"Ears, Nose and Throat",472,35,"SEPTOPLASTY,REDUCTION OF TURBINATES AND UPP",46.735849056603776
Plastics,173,0,DIEP/deep inferior epigastric perforator,649.56
Dental,132,13,DENTAL EXTRACTIONS,59.92783505154639
Endoscopy,131,9,ESOPHAGOGASTRODOUDENOSCOPY,35.71578947368421
Orthopedic Spine,85,1,LUMBAR DECOMPRESSION,101.09859154929578
Maxiofacial,26,0,SAGIATAL SPLIT OSTEOTOMY,150.4
Anesthesia,6,0,EPIDURAL BLOOD PATCH,38.75
